updated,date through,zipcode,confirmed_cases
2020-04-05,2020-04-02,92083,1
2020-04-05,2020-04-02,92084,9
2020-04-05,2020-04-02,92085,1
2020-04-05,2020-04-02,92091,1
2020-04-05,2020-04-02,92092,3
2020-04-05,2020-04-02,92093,1
2020-04-05,2020-04-02,92101,29
2020-04-05,2020-04-02,92102,14
2020-04-05,2020-04-02,92103,64
2020-04-05,2020-04-02,92104,31
2020-04-05,2020-04-02,92105,27
2020-04-05,2020-04-02,92106,7
2020-04-05,2020-04-02,92107,3
2020-04-05,2020-04-02,92108,15
2020-04-05,2020-04-02,92109,22
2020-04-05,2020-04-02,92110,15
2020-04-05,2020-04-02,92111,14
2020-04-05,2020-04-02,92113,26
2020-04-05,2020-04-02,92114,21
2020-04-05,2020-04-02,92115,19
2020-04-05,2020-04-02,92116,33
2020-04-05,2020-04-02,92117,18
2020-04-05,2020-04-02,92118,4
2020-04-05,2020-04-02,92119,4
2020-04-05,2020-04-02,92120,14
2020-04-05,2020-04-02,92121,3
2020-04-05,2020-04-02,92122,12
2020-04-05,2020-04-02,92123,17
2020-04-05,2020-04-02,92124,10
2020-04-05,2020-04-02,92126,21
2020-04-05,2020-04-02,92127,18
2020-04-05,2020-04-02,92128,25
2020-04-05,2020-04-02,92129,18
2020-04-05,2020-04-02,92130,21
2020-04-05,2020-04-02,92131,5
2020-04-05,2020-04-02,92139,17
2020-04-05,2020-04-02,92145,2
2020-04-05,2020-04-02,92147,1
2020-04-05,2020-04-02,92154,25
2020-04-05,2020-04-02,92159,1
2020-04-05,2020-04-02,92161,3
2020-04-05,2020-04-02,92168,1
2020-04-05,2020-04-02,92173,8
2020-04-05,2020-04-02,92196,1
2020-04-05,2020-04-02,Unknown*,14
2020-04-05,2020-04-02,TOTAL,1112
2020-04-05,2020-04-03,91901,1
2020-04-05,2020-04-03,91902,10
2020-04-05,2020-04-03,91909,1
2020-04-05,2020-04-03,91910,28
2020-04-05,2020-04-03,91911,24
2020-04-05,2020-04-03,91913,21
2020-04-05,2020-04-03,91914,3
